X,Y,Island,TMK,Uid,In_2017_CP_zone,BlockBk_ID,BlockGp_ID,Track_ID,Flikr_ID,dist2_coast_m_Rank,dist2_Strm_Wtlnd_m_Rank,dist2_MunWells_m_Rank,dist2_DomWells_m_Rank,Dep_to_Water_m_Rank,rainfall_in_Rank,Wave_pwr_Rank,OSDS_Density_perAcre_Rank,UserDays_Rank,Soil_Suitability_Rank,SLR_Rank,WELLCZ_Rank,Swim_beach_Rank,Fish_Rank,Coral_Rank,Priority_mean
-157.131945515,21.144227322,Molokai,251002036,-157.13194_21.14422,,21593,779,295,flk_2044_Maui,1.3384657159184576,12.167610035617301,4.583587708636276,4.462234564750752,5.025901285177771,40.43335345469675,44.26316207861906,2.5946697547382382,0.0999000999000999,13.466,0,0,0,0,66,12.96232564653698
-157.257805957,21.1479159589,Molokai,251002044,-157.25780_21.14791,,21243,779,295,flk_2179_Maui,3.600504132528996,9.684131392202119,2.1883445646790793,2.8563263112006196,8.75734866176156,53.69997007726855,13.340901197907748,2.5946697547382382,1.0989010989010992,13.466,0,0,0,33,33,11.819139812745867
-157.246135832,21.1902878931,Molokai,251003011,-157.24613_21.19028,,22551,779,295,flk_2413_Maui,24.890351648903213,51.37220765352944,2.255460905260889,2.822813746746184,54.34857026365428,49.23249089114915,16.56287483870547,30.33081619634445,5.094905094905094,31.296666666666663,0,0,0,66,66,26.680477193724318
-157.208562065,21.1570360599,Molokai,251004008,-157.20856_21.15703,,23353,779,295,flk_2294_Maui,1.366798468846146,15.347094168698606,2.7474757248656343,3.2897703260915727,3.5069287046844764,40.1212322453142,15.587456637445046,2.5946697547382382,18.081918081918086,25.0,0,0,0,66,66,17.309556274173467
-157.219229951,21.1773825601,Molokai,251004020,-157.21922_21.17738,,22551,779,295,flk_2377_Maui,2.1136830299694145,10.63462492784464,2.574223909202472,3.098976314640218,5.0973395143179525,46.738977484728764,16.095683596329696,2.5946697547382382,17.082917082917085,17.756,0,0,100,66,100,25.985806374312563
-157.210939878,21.1725311087,Molokai,251004023,-157.21093_21.17253,,22551,779,295,flk_2377_Maui,1.6294501814766869,10.141976502326846,2.692123650043011,3.1991487654957336,5.047320212496496,44.83940071846567,16.095683596329696,2.5946697547382382,17.082917082917085,25.0,0,0,100,66,100,26.288179364285963
-157.208142182,21.166625641,Molokai,251004027,-157.20814_21.16662,,20275,779,295,flk_2377_Maui,1.4826519345129494,4.770613294020158,2.7418242074585377,3.253397710720766,4.514965997863468,43.04042210515076,16.095683596329696,2.5946697547382382,17.082917082917085,25.0,0,0,100,66,100,25.771809712247443
-157.24633015,21.1831919436,Molokai,251005001,-157.24633_21.18319,,22551,779,295,flk_2377_Maui,16.564421378253698,14.226292104713453,2.266937023472863,2.8459858608119717,78.27242141284843,50.79808594542292,16.095683596329696,16.015387521960673,17.082917082917085,13.466,33,0,100,66,100,35.10894212844872
-157.245873819,21.1831720788,Molokai,251005003,-157.24587_21.18317,,22551,779,295,flk_2377_Maui,15.025891343147007,12.990144578319054,2.271369139381524,2.8496410031198596,59.40125602934565,50.79808594542292,16.095683596329696,23.173146992321133,17.082917082917085,13.466,0,0,100,66,100,31.943609047353597
-157.245437168,21.1831273723,Molokai,251005005,-157.24543_21.18312,,22551,779,295,flk_2377_Maui,13.743212735580377,11.930093002814623,2.2756708986184275,2.8532351660819306,48.75631481035163,50.79808594542292,16.095683596329696,23.173146992321133,17.082917082917085,13.466,0,0,100,66,100,31.07829068202919
-157.243896021,21.1832124341,Molokai,251005012,-157.24389_21.18321,,22551,779,295,flk_2377_Maui,10.741501167592906,9.500829225712982,2.290554814824867,2.865143963886848,28.757137524500575,50.48270195475434,16.095683596329696,30.33081619634445,17.082917082917085,13.466,0,0,100,66,100,29.840885701790917
-157.243012908,21.1832299351,Molokai,251005016,-157.24301_21.18322,,22551,779,295,flk_2377_Maui,9.52460456691143,9.035636782484325,2.299225456724729,2.872117249842466,21.985746669325827,50.48270195475434,16.095683596329696,28.541466595091478,17.082917082917085,13.466,0,0,100,66,100,29.159073330292088
-157.228361333,21.1729541042,Molokai,251006007,-157.22836_21.17295,,20129,779,295,flk_2353_Maui,2.773747393298251,20.506779383902916,2.4731672899358936,3.033487456319336,6.537655210292312,48.33779709880242,16.932920930332646,3.4893896885332962,3.0969030969030973,13.466,0,0,100,66,100,25.776523169888016
-157.22915496,21.172329431,Molokai,251006008,-157.22915_21.17232,,20129,779,295,flk_2353_Maui,2.8441089189419517,19.423910495909112,2.465033863564661,3.0287319578261385,7.054979926980949,48.92780819238188,16.932920930332646,3.4893896885332962,3.0969030969030973,17.756,0,0,100,66,100,26.067985804758255
-157.257528248,21.1670862932,Molokai,251006063,-157.25752_21.16708,,22551,779,295,flk_2250_Maui,18.451914528955843,24.99877567689156,2.1828555471028555,2.8083767732088663,77.96606282032745,55.118048753465544,14.246330480456173,2.5946697547382382,2.097902097902098,33.221666666666664,33,0,100,33,0,26.645773539981015
-157.252253325,21.1728862093,Molokai,251006072,-157.25225_21.17288,,22551,779,295,flk_2294_Maui,22.096528103526854,17.61298687952715,2.2255141542218415,2.8327517474761694,100.0,54.042777254682164,15.587456637445046,3.4893896885332962,18.081918081918086,33.221666666666664,100,0,0,66,66,33.41273261426649
-157.236508845,21.1801664802,Molokai,251006109,-157.23650_21.18016,,21336,779,295,flk_2377_Maui,4.66831061870243,18.475714601380776,2.3711360752667514,2.936199327826968,10.229055572203897,49.91459343136372,16.095683596329696,3.4893896885332962,17.082917082917085,13.466,0,0,100,66,100,26.981933332968307
-157.24170008,21.1823621559,Molokai,251006114,-157.24170_21.18236,,22283,779,295,flk_2377_Maui,7.768709024704544,11.073943384934168,2.313851122823747,2.885709174732814,14.553607179160455,50.17806309522689,16.095683596329696,9.752402145197557,17.082917082917085,17.756,0,0,100,66,100,27.697392387068465
-157.234690528,21.1812457486,Molokai,251006124,-157.23469_21.18124,,22283,779,295,flk_2377_Maui,4.289391564100427,13.416687696027822,2.3884236620121753,2.9474322283750984,8.66461395190099,49.54934457221546,16.095683596329696,4.384109622328354,17.082917082917085,17.756,0,0,100,66,100,26.83830693174714
-157.23121867,21.1758200441,Molokai,251006140,-157.23121_21.17582,,22156,779,295,flk_2353_Maui,3.2329487469297655,8.724956630813532,2.436084772857153,2.9974414070571895,6.620863518612323,49.56725222128207,16.932920930332646,5.278820529489697,3.0969030969030973,33.11166666666667,0,0,100,66,100,26.533323901396276
-157.231360956,21.1767915874,Molokai,251006141,-157.23136_21.17679,,22156,779,295,flk_2377_Maui,3.2756963672436656,10.792922294623118,2.4328315020810933,2.9925582252701872,6.647368163825236,49.56725222128207,16.095683596329696,6.173540463284755,17.082917082917085,33.11166666666667,0,0,100,66,100,27.611495772234903
-157.231814524,21.1798623519,Molokai,251006145,-157.23181_21.17986,,22156,779,295,flk_2377_Maui,3.5561903408973974,14.756545905869434,2.4222155595625487,2.977033895251098,7.875407728346875,49.41627720268345,16.095683596329696,4.384109622328354,17.082917082917085,13.466,0,0,100,66,100,26.53549206227906
